,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Brand,Model_Only,Car Age
6809,37170,Diesel,Manual,1,2.0,Tata,Indigo ECS,10
6810,120000,Diesel,Manual,1,4.9,Honda,WR-V,8
6811,270000,Diesel,Manual,1,3.0,Renault,Duster,10
6812,76130,Diesel,Manual,3,0.65,Tata,Indigo ECS,14
6813,10910,Petrol,Manual,1,4.74,Tata,Tiago,1
6814,100000,Petrol,Manual,2,2.54,Honda,CRV,15
6815,90460,Diesel,Manual,1,3.43,Maruti,Ciaz,11
6816,97050,Petrol,Manual,5,1.31,Renault,Pulse,9
6817,72330,Petrol,Auto,1,3.44,Hyundai,Grand i10,8
6818,85380,Petrol,Manual,2,1.83,Hyundai,Eon,7
6819,65610,Petrol,Auto,2,5.29,Honda,City,10
6820,29920,Petrol,Manual,1,11.0,MG,ASTOR,3
6821,86370,Petrol,Manual,1,3.4,Honda,Amaze,9
6822,86310,Diesel,Manual,1,4.5,Renault,Duster,11
6823,93890,Petrol,Manual,2,5.65,Volkswagen,Polo,6
6824,150000,Diesel,Manual,3,2.79,Renault,Lodgy,7
6825,140000,Petrol,Manual,3,3.62,Hyundai,i20 Active,9
6826,110000,Petrol,Manual,1,5.2,Hyundai,Creta,9
6827,110000,Diesel,Manual,1,0.78,Tata,Indica Vista,13
6828,16020,Petrol,Auto,2,14.0,MG,HECTOR,2
6829,71510,Diesel,Manual,3,4.82,Maruti,Vitara Brezza,7
6830,91480,Diesel,Manual,1,3.8,Renault,Duster,11
6831,76270,Diesel,Auto,1,5.77,Maruti,Swift,7
6832,19910,Petrol,Manual,1,3.76,Maruti,Swift,9
6833,130000,Petrol,Manual,1,4.36,Maruti,Baleno,7
6834,80250,Diesel,Manual,2,3.57,Hyundai,Elite i20,10
6835,6540,Petrol,Manual,1,10.0,KIA,CARENS,2
6836,130000,Diesel,Auto,1,18.5,Landrover,Range Rover Evoque,10
6837,120000,Diesel,Auto,1,4.17,Renault,Duster,8
6838,89540,Diesel,Manual,3,2.5,Maruti,Swift,11
6839,32680,Petrol,Manual,1,3.78,Renault,Kwid,4
6840,85640,Petrol,Manual,2,4.5,Hyundai,i20 Active,10
6841,140000,Diesel,Manual,2,3.09,Ford,Endeavour,14
6842,190000,Diesel,Manual,1,11.65,KIA,SELTOS,5
6843,23640,Petrol,Manual,1,5.0,Renault,Kiger,3
6844,74290,Diesel,Auto,2,19.95,Jaguar,XJ L,11
6845,83230,Diesel,Manual,2,4.77,Honda,City,9
6846,33680,Petrol,Manual,1,13.76,Mahindra,XUV700,3
6847,91340,Petrol,Manual,1,4.76,Hyundai,Grand i10,5
6848,100000,Diesel,Manual,3,3.93,Ford,Ecosport,9
6849,68000,Diesel,Manual,2,3.09,Tata,Zest,7
6850,43150,Petrol,Manual,1,5.5,Maruti,Eeco,2
6851,24050,Diesel,Auto,1,11.79,Tata,NEXON,1
6852,93410,Diesel,Auto,2,14.5,Mercedes,Benz M Class,10
6853,82890,Diesel,Manual,2,7.85,Maruti,Ertiga,7
6854,120000,Petrol,Auto,2,5.14,Skoda,Octavia,10
6855,24500,Petrol,Auto,1,3.73,Maruti,S PRESSO,5
6856,110000,Diesel,Manual,1,9.59,Mahindra,XUV500,6
6857,120000,Diesel,Auto,2,5.5,BMW,3 Series,13
6858,98810,Diesel,Manual,2,2.9,Renault,Duster,11
6859,39220,Diesel,Manual,1,11.9,Mahindra,Thar,3
6860,34300,Petrol,Manual,1,5.6,Renault,Kiger,3
6861,73290,Petrol,Manual,1,5.57,Maruti,Ciaz,7
6862,160000,Diesel,Manual,1,6.0,Mahindra,MARAZZO,6
6863,56080,Diesel,Auto,2,16.95,BMW,5 Series,9
6864,110000,Diesel,Manual,1,4.04,Honda,City,10
6865,83300,Diesel,Auto,3,7.5,BMW,5 Series,14
6866,7570,Petrol,Manual,1,11.0,Volkswagen,VIRTUS,2
6867,260000,Diesel,Manual,2,2.67,Maruti,Swift,11
6868,85970,Diesel,Auto,2,7.0,Hyundai,Creta,8
6869,150000,Diesel,Auto,1,7.0,Audi,A3,11
6870,120000,Diesel,Manual,1,3.18,Hyundai,Verna,13
6871,10960,Petrol,Auto,1,12.5,MG,ASTOR,1
6872,43410,Diesel,Manual,1,13.56,Hyundai,ALCAZAR,3
6873,51470,Petrol,Auto,1,10.2,Hyundai,Creta,5
6874,98330,Diesel,Manual,3,3.08,Mahindra,XUV500,13
6875,8870,Petrol,Auto,1,14.19,Skoda,SLAVIA,1
6876,140000,Diesel,Auto,2,16.0,Audi,Q3,7
6877,120000,Diesel,Auto,1,7.0,Hyundai,Santa Fe,8
6878,86610,Diesel,Auto,1,9.5,Mercedes,Benz E Class,12
6879,59060,Petrol,Manual,1,9.2,KIA,SELTOS,5
6880,8420,Petrol,Auto,1,13.0,Maruti,JIMNY,2
6881,86780,Diesel,Auto,2,5.72,BMW,X1,12
6882,94630,Diesel,Manual,1,9.34,Mahindra,XUV300,3
6883,83660,Diesel,Auto,3,13.88,BMW,X1,8
6884,120000,Diesel,Auto,2,8.5,Audi,Q3,11
6885,62600,Petrol,Manual,2,11.01,Hyundai,Creta,4
6886,46260,Petrol,Manual,2,12.17,MG,HECTOR PLUS,5
6887,170000,Diesel,Manual,1,3.7,Nissan,Terrano,8
6888,61480,Petrol,Auto,1,8.27,KIA,SONET,4
6889,110000,Diesel,Auto,1,16.0,BMW,X1,6
6890,10280,Petrol,Auto,1,6.11,Maruti,Celerio,2
6891,150000,Diesel,Auto,1,6.75,Tata,Hexa,8
6892,120000,Diesel,Auto,2,11.0,Audi,Q3,8
6893,61490,Diesel,Auto,1,16.0,Audi,Q7,11
6894,72620,Diesel,Manual,2,12.0,MG,HECTOR,4
6895,91970,Diesel,Manual,1,3.5,Maruti,Swift,11
6896,27450,Petrol,Auto,1,21.0,Jeep,Compass,4
6897,11300,Petrol,Auto,1,10.64,Hyundai,NEW I20 N LINE,2
6898,63710,Diesel,Auto,1,25.0,MG,GLOSTER,3
6899,28920,Electric,Auto,1,14.22,Tata,NEXON EV,2
6900,83560,Diesel,Manual,1,18.5,ISUZU,D-Max V Cross,3
6901,843,Petrol,Manual,1,5.5,Hyundai,VENUE,5
6902,100000,Petrol,Manual,2,1.89,Hyundai,i10,13
6903,38680,Petrol,Manual,1,1.41,Maruti,Zen Estilo,15
6904,38810,Petrol,Manual,2,2.0,Toyota,Etios,14
6905,36510,Petrol,Manual,1,3.5,Maruti,Alto,4
6906,130000,Diesel,Manual,1,3.55,Maruti,Swift Dzire,13
6907,160000,Diesel,Manual,1,6.71,Maruti,Vitara Brezza,8
6908,37340,Petrol,Manual,2,6.27,Renault,TRIBER,2
6909,170000,Diesel,Manual,2,3.8,Mahindra,NUVOSPORT,9
6910,35650,Petrol,Manual,2,2.79,Hyundai,i10,12
6911,120000,Petrol,Manual,1,4.0,Hyundai,Elite i20,9
6912,26350,Diesel,Manual,1,5.25,Maruti,Baleno,9
6913,180000,Diesel,Manual,2,5.5,Mahindra,XUV500,9
6914,100000,Diesel,Manual,2,5.5,Honda,WR-V,7
6915,120000,Petrol,Manual,1,6.5,Hyundai,VENUE,6
6916,84500,Petrol,Manual,1,11.75,KIA,SELTOS,5
6917,160000,Diesel,Manual,2,4.12,Maruti,Swift,10
6918,75360,Diesel,Manual,1,15.44,Tata,Safari,4
6919,73840,Petrol,Manual,1,6.93,Renault,TRIBER,3
6920,130000,Petrol,Manual,2,1.82,Toyota,Etios,12
6921,68000,Petrol,Manual,2,2.15,Hyundai,i20,16
6922,110000,Diesel,Manual,1,0.8,Chevrolet,Beat,13
6923,78840,Petrol,Manual,3,2.15,Hyundai,i20,15
6924,7890,Petrol,Manual,1,8.5,Maruti,Ertiga,2
6925,110000,Diesel,Manual,2,2.69,Honda,City,10
6926,48160,Petrol,Manual,3,2.0,Toyota,Etios,12
6927,61740,Petrol,Manual,3,2.31,Honda,Amaze,11
6928,110000,Diesel,Manual,3,2.86,Honda,City,10
6929,33120,Petrol,Manual,2,2.5,Hyundai,Grand i10,9
6930,35040,Petrol,Manual,2,4.0,Maruti,Swift,5
6931,17220,Petrol,Manual,1,5.25,Maruti,Swift Dzire,10
6932,55760,Petrol,Manual,2,0.6,Hyundai,i10,15
6933,150000,Diesel,Manual,2,2.52,Tata,Zest,8
6934,86450,Petrol,Manual,1,1.65,Chevrolet,Beat,13
6935,120000,Petrol,Manual,1,0.8,Maruti,Alto,15
6936,180000,Petrol,Manual,2,3.13,Maruti,Swift Dzire,10
6937,120000,Diesel,Manual,2,4.33,Maruti,Swift Dzire,11
6938,73200,Petrol,Manual,1,4.42,Maruti,Swift Dzire,9
6939,71560,Diesel,Manual,2,2.0,Hyundai,Xcent,11
6940,96590,Petrol,Manual,2,1.5,Maruti,Alto 800,11
